epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
79,45.8358,3.42141,4.15807,4.27864,0.53062,0,0,0,0,2.83257,7.26818,4.17149,0.83963,0.000119823,0.000119823,0.000119823
80,46.3066,3.14641,4.84327,4.03742,0.41349,0,0,0,0,2.83257,7.26818,4.17149,0.83963,0.000114615,0.000114615,0.000114615
81,46.8027,2.91717,5.07933,4.15361,0.62448,0,0,0,0,2.83257,7.26818,4.17149,0.83963,0.000109408,0.000109408,0.000109408
82,47.2773,3.42568,4.28302,3.92917,0.64113,0,0,0,0,2.83257,7.26818,4.17149,0.83963,0.000104201,0.000104201,0.000104201
83,47.7832,3.85571,4.44011,3.99424,0.5344,0,0,0,0,2.83257,7.26818,4.17149,0.83963,9.89932e-05,9.89932e-05,9.89932e-05
84,48.2462,4.00629,4.2042,3.94784,0.50495,0,0,0,0,2.83257,7.26818,4.17149,0.83963,9.37858e-05,9.37858e-05,9.37858e-05
85,48.706,3.73711,4.53959,3.95144,0.61366,0,0,0,0,2.83257,7.26818,4.17149,0.83963,8.85784e-05,8.85784e-05,8.85784e-05
86,49.1819,4.10538,3.75186,3.91591,0.52847,0,0,0,0,2.83257,7.26818,4.17149,0.83963,8.3371e-05,8.3371e-05,8.3371e-05
87,49.647,2.847,5.78822,4.17453,0.5312,0,0,0,0,2.83257,7.26818,4.17149,0.83963,7.81636e-05,7.81636e-05,7.81636e-05
88,50.1251,4.23279,3.60689,3.79099,0.51086,0,0,0,0,2.83257,7.26818,4.17149,0.83963,7.29562e-05,7.29562e-05,7.29562e-05
89,50.5966,2.55249,4.77326,3.9762,0.55862,0,0,0,0,2.83257,7.26818,4.17149,0.83963,6.77488e-05,6.77488e-05,6.77488e-05
90,51.117,0.93451,15.0988,2.09731,0.35825,0,0,0,0,2.82517,7.25756,4.1672,0.8219,6.25414e-05,6.25414e-05,6.25414e-05
91,89.1145,2.72612,6.4953,4.05188,0.21794,0,0,0,0,2.82517,7.25756,4.1672,0.8219,5.7334e-05,5.7334e-05,5.7334e-05
92,89.66,3.70642,4.64096,3.963,0.38395,0,0,0,0,2.82517,7.25756,4.1672,0.8219,5.21266e-05,5.21266e-05,5.21266e-05
93,90.1347,3.05389,4.20321,4.16332,0.63683,0,0,0,0,2.82517,7.25756,4.1672,0.8219,4.69192e-05,4.69192e-05,4.69192e-05
94,90.6177,2.85931,7.59135,4.07255,0.65204,0,0,0,0,2.82517,7.25756,4.1672,0.8219,4.17118e-05,4.17118e-05,4.17118e-05
95,91.1008,3.16682,5.79596,4.47979,0.46699,0,0,0,0,2.82517,7.25756,4.1672,0.8219,3.65044e-05,3.65044e-05,3.65044e-05
96,91.5761,3.38943,3.99403,4.01209,0.6085,0,0,0,0,2.82517,7.25756,4.1672,0.8219,3.1297e-05,3.1297e-05,3.1297e-05
97,92.0667,2.71959,5.42532,4.34837,0.67764,0,0,0,0,2.82517,7.25756,4.1672,0.8219,2.60896e-05,2.60896e-05,2.60896e-05
98,92.5581,3.4076,4.76521,4.00239,0.458,0,0,0,0,2.82517,7.25756,4.1672,0.8219,2.08822e-05,2.08822e-05,2.08822e-05
99,93.0746,3.22879,7.00929,4.09764,0.45812,0,0,0,0,2.82517,7.25756,4.1672,0.8219,1.56748e-05,1.56748e-05,1.56748e-05
100,94.0226,3.40391,4.61871,4.05315,0.52209,0,0,0,0,2.82121,7.2602,4.16671,0.80561,1.04674e-05,1.04674e-05,1.04674e-05
