epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
88,7995.5,1.45995,1.20596,1.27631,0.07763,0.70613,0.35206,0.36429,0.24472,1.50471,1.70838,1.34661,0.08964,7.29562e-05,7.29562e-05,7.29562e-05
89,8081.45,1.47719,1.21948,1.27245,0.08246,0.67659,0.34967,0.36161,0.24222,1.50524,1.72327,1.34506,0.08953,6.77488e-05,6.77488e-05,6.77488e-05
90,8165.27,1.48723,1.25459,1.27059,0.08241,0.63128,0.36152,0.36713,0.2477,1.50258,1.71118,1.34101,0.08703,6.25414e-05,6.25414e-05,6.25414e-05
91,8298.75,1.45862,1.36676,1.36663,0.08619,0.67042,0.34624,0.35845,0.24136,1.5086,1.69727,1.34451,0.08776,5.7334e-05,5.7334e-05,5.7334e-05
92,8385.35,1.44492,1.30821,1.34232,0.08406,0.67024,0.35523,0.36236,0.24189,1.50984,1.68551,1.34506,0.08539,5.21266e-05,5.21266e-05,5.21266e-05
93,8469.88,1.45749,1.2992,1.34128,0.08418,0.61486,0.35911,0.36161,0.24209,1.51485,1.67237,1.34309,0.08642,4.69192e-05,4.69192e-05,4.69192e-05
94,8553.67,1.44162,1.30902,1.34451,0.08518,0.6578,0.35345,0.36526,0.24469,1.50926,1.62214,1.34141,0.08722,4.17118e-05,4.17118e-05,4.17118e-05
95,8637.67,1.4484,1.30201,1.33271,0.0822,0.64431,0.35805,0.36059,0.24112,1.51153,1.67305,1.34404,0.08896,3.65044e-05,3.65044e-05,3.65044e-05
96,8720.2,1.43651,1.30064,1.33518,0.08076,0.63411,0.3584,0.36217,0.24358,1.5079,1.62532,1.34248,0.08794,3.1297e-05,3.1297e-05,3.1297e-05
97,8803.07,1.44851,1.30752,1.34533,0.0826,0.61441,0.35948,0.36431,0.24499,1.50021,1.62015,1.3383,0.08658,2.60896e-05,2.60896e-05,2.60896e-05
98,8885.89,1.40613,1.24514,1.33015,0.07905,0.64257,0.35687,0.36356,0.24392,1.5067,1.64925,1.33819,0.08671,2.08822e-05,2.08822e-05,2.08822e-05
99,8970.18,1.43682,1.28895,1.33748,0.08313,0.62338,0.36359,0.36468,0.24481,1.50107,1.64739,1.33643,0.08768,1.56748e-05,1.56748e-05,1.56748e-05
100,9053.27,1.45205,1.30804,1.33947,0.08438,0.63371,0.36294,0.36389,0.24442,1.50529,1.63314,1.33744,0.08742,1.04674e-05,1.04674e-05,1.04674e-05
